Район;Диоксид азота;Диоксид серы;Оксид азота;Оксид углерода;Сероводород;Плотность населения;Загрязнение почвы;Объекты негативного воздействия;Водоемы;Автомагистрали;Озеленение;Шум;Соседство с лесными массивами;Аэропорт;Промзоны
Академический;0.27;0.02;0.30;0.10;0.11;19558.32;6.00;1;0;1;7.02;1;0;0;1
Алескеевский;0.43;0.04;0.57;0.10;0.12;14767.30;5.70;0.5;0;0;3.59;1;0;0;0
Алтуфьевский;0.29;0.04;0.55;0.10;0.08;17129.54;0.00;1;1;1;2.54;1;0;1;1
Арбат;0.51;0.02;0.80;0.15;0.07;16907.58;8.30;0;1;0;2.34;1;0;0;0
Аэропорт;0.56;0.08;1.10;0.18;0.18;17414.19;2.60;0;0;1;9.48;1;0;0;0
Бабушкинский;0.35;0.02;0.68;0.15;0.06;13234.52;0.00;0;0;0;7.25;1;0;0;0
Басманный;0.47;0.24;0.28;0.08;0.09;12847.43;10.10;0.5;1;1;2.9;1;0;0;0
Беговой;0.56;0.08;1.10;0.18;0.18;7622.48;2.00;0;0;1;0.82;1;0;0;1
Бескудниковский;0.56;0.03;0.85;0.10;0.11;23817.58;3.20;0.5;1;1;12.09;1;0;1;0
Бибирево;0.30;0.02;0.43;0.16;0.10;24893.80;0.00;0.5;1;1;12.97;1;1;1;0
Бирюлёво Восточное;0.37;0.02;0.65;0.14;0.10;10591.60;6.00;0.5;1;1;40.53;0;0;0;1
Бирюлёво Западное;0.35;0.03;0.62;0.14;0.10;10092.01;4.60;1;0;1;3.96;1;0;0;1
Богородское;0.30;0.02;0.32;0.10;0.09;10620.80;6.20;0.5;1;1;35.91;1;1;0;0
Братеево;0.23;0.03;0.48;0.80;0.14;13472.35;0.00;0.5;1;1;14.98;1;0;0;0
Бутырский;0.50;0.04;0.60;0.15;0.22;14369.25;3.90;0.5;0;1;3.78;1;0;0;0
Вешняки;0.38;0.06;0.52;0.08;0.14;11146.64;22.10;0.5;1;1;54.59;1;0;0;0
Внуково;0.43;0.06;0.90;0.93;0.27;1580.25;0.00;1;1;1;5.38;1;0;1;0
Войковский;0.35;0.08;0.33;0.07;0.23;10777.76;2.30;0;1;1;5.07;1;0;0;1
Восточное Дегунино;0.60;0.02;0.72;0.09;0.18;26863.40;5.00;0.5;0;1;5.15;0;0;1;0
Восточное Измайлово;0.40;0.05;0.47;0.08;0.17;19370.65;3.10;0;0;1;0.83;1;0;0;0
Восточный;0.52;0.04;0.50;0.09;0.18;4083.44;2.40;0;1;1;5.84;1;1;0;0
Выхино-Жулебино;0.54;0.06;1.23;0.15;0.17;16106.15;0.00;0;1;1;11.25;1;0;0;1
Гагаринский;0.27;0.02;0.30;0.10;0.11;14731.09;4.20;0.5;1;1;17.73;1;0;0;0
Головинский;0.32;0.02;0.32;0.10;0.08;11581.08;7.30;0;1;1;6.43;1;0;0;1
Гольяново;0.24;0.02;0.22;0.01;0.07;11027.28;2.20;0.5;1;1;4;1;1;0;1
городской округ Троицк;0.20;0.08;0.45;0.07;0.11;3983.04;3.20;0.5;1;1;3.43;1;0;0;0
городской округ Щербинка;0.19;0.66;0.33;0.11;1.09;7418.77;4.80;0.5;0;1;1.46;1;0;0;0
Даниловский;0.43;0.02;0.75;0.17;0.12;8321.43;0.00;1;1;1;2.29;1;0;0;1
Дмитровский;0.56;0.03;0.85;0.10;0.11;14054.73;0.00;1;1;1;20.52;1;0;1;1
Донской;0.53;0.02;0.33;0.08;0.10;9225.31;12.80;0.5;1;1;4.57;1;0;0;0
Дорогомилово;0.18;0.03;0.27;0.12;0.10;9812.33;3.50;1;1;1;18.84;1;0;0;1
Замоскворечье;0.39;0.03;0.27;0.09;0.09;12762.04;7.40;1;1;0;1.16;1;0;0;1
Западное Дегунино;0.33;0.03;0.47;0.09;0.06;11221.25;0.00;0.5;1;1;4.64;1;0;1;1
Зюзино;0.37;0.03;0.60;0.14;0.06;22769.36;8.10;0;1;1;5.62;1;0;0;0
Зябликово;0.34;0.05;0.55;0.14;0.19;30526.71;1.90;0;1;0;3.77;0;0;0;0
Ивановское;0.50;0.13;0.48;0.08;0.17;12384.49;2.10;0;1;1;31.71;1;0;0;0
Измайлово;0.36;0.04;0.43;0.07;0.13;7031.36;9.40;0.5;1;1;15.98;1;1;0;0
Капотня;0.39;0.05;0.42;1.10;0.17;4070.47;0.00;1;1;1;5.94;1;0;1;1
Коньково;0.33;0.03;0.37;0.09;0.07;21135.65;2.60;0;1;0;6.29;1;0;0;1
Коптево;0.32;0.02;0.32;0.10;0.08;19100.00;2.20;0;0;1;0.94;1;0;0;1
Косино-Ухтомский;0.42;0.04;0.45;0.10;0.11;5901.46;4.70;0;1;1;5.52;1;0;0;1
Котловка;0.24;0.02;0.37;0.11;0.19;16365.74;1.70;0.5;1;1;11.85;1;0;0;0
Красносельский;0.45;0.24;0.65;0.11;0.09;9217.54;6.00;0;0;1;1.03;1;0;0;1
Крылатское;0.33;0.09;0.43;0.14;0.13;6890.28;0.00;0.5;1;1;21.66;0;1;0;1
Крюково;0.26;0.09;0.67;0.17;0.08;9931.84;0.00;0.5;1;0;5.17;1;0;1;0
Кузьминки;0.43;0.05;0.70;0.10;0.16;17296.44;12.10;0;1;1;1.45;1;0;0;0
Кунцево;0.25;0.51;0.48;0.10;0.05;9228.80;5.50;0.5;0;1;9.19;1;1;0;1
Куркино;0.43;0.05;0.58;0.20;0.08;4047.47;1.70;1;1;1;43.08;1;0;1;0
